Talker,Category,distance_babble
AS2,AS,40.856754377289526
AS2,AS,63.822646045494196
AS2,AS,32.554690570416255
AS2,AS,31.24228310078548
AS2,AS,78.07202856632297
AS2,AS,206.11663801460324
AS2,AS,99.71451355888316
AS2,AS,35.41723748566301
AS2,AS,109.54852165936808
AS2,AS,54.90947499818618
AS2,AS,96.76247183809369
AS2,AS,27.43950961515191
AS2,AS,194.8360617783566
AS2,AS,78.20055014111682
AS2,AS,143.5569720386992
AS2,AS,60.96775801031696
AS2,AS,69.55785220992516
AS2,AS,35.193753735706295
AS2,AS,80.25010095417468
AS2,AS,81.93551795541713
AS2,AS,65.14337759644974
AS3,AS,63.95962676478085
AS3,AS,74.16561954807203
AS3,AS,76.53619269225281
AS3,AS,49.93976269281572
AS3,AS,63.820646550553526
AS3,AS,63.20318224371456
AS3,AS,73.09532663839626
AS3,AS,72.86135020451684
AS3,AS,57.35907668301652
AS3,AS,62.65828130370853
AS3,AS,41.05350931052439
AS3,AS,114.2138750213826
AS3,AS,152.89188945391172
AS3,AS,64.99133245851758
AS3,AS,82.25004388116652
AS3,AS,84.80796119920007
AS3,AS,47.72635030608384
AS3,AS,113.91885154103045
AS3,AS,68.2272077238829
AS3,AS,124.26663725095095
AS3,AS,88.5468099131529
AS3,AS,167.17178646873592
AS3,AS,72.80114623971194
AS3,AS,71.61665433173754
AS3,AS,53.714788174559054
AS3,AS,100.18929477655016
AS3,AS,92.44475594708916
AS3,AS,122.6307872896039
AS3,AS,44.59741471911066
AS3,AS,116.03011578868157
AS3,AS,91.72908445768441
AS3,AS,83.55133227034061
AS3,AS,77.3507878974275
AS3,AS,51.329886673561255
AS3,AS,64.28815007398396
AS3,AS,100.76738941910642
AS3,AS,141.0229221369151
AS3,AS,80.90760404135796
AS3,AS,63.663149989396445
AS3,AS,47.709864153707294
AS3,AS,87.70119153231761
AS3,AS,110.39784991279056
AS3,AS,40.511557320950544
AS3,AS,28.70689030115653
AS3,AS,157.00732115353904
AS3,AS,67.83969315646114
AS3,AS,51.31635414848461
AS3,AS,105.43592577931067
AS3,AS,51.11535880170568
AS3,AS,62.23848146635613
AS3,AS,70.07302745681463
AS3,AS,47.45536309496438
AS3,AS,92.87443346556459
AS3,AS,103.97089621526396
AS3,AS,54.942661677529514
AS3,AS,42.628267397221585
AS3,AS,72.5828202690334
AS3,AS,60.63203898464686
AS3,AS,102.6492765175281
AS3,AS,66.74392011058265
AS3,AS,95.23601012654287
AS3,AS,52.567641091285395
AS3,AS,41.5250347110685
AS3,AS,92.73009911039958
AS3,AS,27.201982985666593
AS3,AS,84.43202492353022
AS3,AS,82.10048198188844
AS3,AS,109.30127430307198
AS3,AS,36.56665147910001
AS3,AS,120.53109611241078
AS3,AS,78.47079722308992
AS3,AS,49.50986574290656
AS3,AS,106.89052340387613
AS3,AS,51.477072989277765
AS3,AS,171.84759615254342
AS3,AS,35.94141826248393
AS3,AS,60.39201302757645
AS3,AS,46.3040768764251
AS3,AS,37.81743190419404
AS3,AS,101.88798490048725
AS3,AS,130.737771699323
AS3,AS,51.559759371768685
AS3,AS,63.00485010458027
AS3,AS,56.18833379289435
AS3,AS,152.24332455475994
AS3,AS,102.0708919006513
AS3,AS,98.415213129869
AS3,AS,48.92867955066477
AS3,AS,62.214941373562304
AS3,AS,93.4193010384956
AS3,AS,89.37543167474041
AS3,AS,46.46088269145474
AS3,AS,53.34202895792613
AS3,AS,49.68481674879238
AS3,AS,88.8112926963631
AS3,AS,61.297453321536906
AS3,AS,55.4450574108209
AS3,AS,85.16706784096688
AS3,AS,95.87519427218814
AS3,AS,89.57686494232071
AS3,AS,148.75443356949486
AS3,AS,185.784866604148
AS3,AS,87.69862193905797
AS3,AS,43.28329845507693
AS3,AS,139.2911262870662
AS3,AS,76.93271105309768
AS3,AS,60.95873184610332
AS3,AS,57.977291981187115
AS3,AS,116.82364221395807
AS3,AS,50.13552245905825
AS3,AS,100.14236870047766
AS3,AS,90.50105853646389
AS3,AS,70.54785132726981
AS3,AS,80.84637006575959
AS3,AS,65.09426929397218
AS3,AS,44.81980333297195
AS3,AS,51.48269819174503
AS3,AS,45.63472011616238
AS3,AS,64.17330784698531
AS3,AS,44.22904201210197
AS3,AS,33.296795994234195
AS3,AS,113.38955815958388
AS3,AS,80.08040328668196
AS3,AS,61.78530896376376
AS3,AS,89.18866206507886
AS3,AS,56.07847835352645
AS3,AS,44.71591033805408
AS3,AS,42.845143343931184
AS3,AS,70.69961005240425
AS3,AS,114.67832161190643
AS3,AS,65.9050157651345
AS3,AS,133.25936976556125
AS3,AS,48.61803174650035
AS3,AS,171.41730335536005
AS3,AS,66.15364786612685
AS3,AS,74.52638960469517
AS3,AS,86.64651899316438
AS3,AS,92.09232259487793
AS3,AS,92.99458664639032
AS3,AS,51.5254656217658
AS3,AS,57.83909899835967
AS3,AS,57.64400418111665
AS3,AS,88.1252250916304
AS3,AS,56.221630333849426
AS3,AS,78.33441268246746
AS3,AS,54.42913127346988
AS3,AS,104.85942562313149
AS3,AS,53.58191106705895
AS3,AS,73.3400454845464
AS4,AS,110.98823673275874
AS4,AS,124.46726152650685
AS4,AS,40.529218849020054
AS4,AS,50.46321179677515
AS4,AS,45.619725471217755
AS4,AS,34.53854932608011
AS4,AS,39.827519131307184
AS4,AS,57.19767506471693
AS4,AS,33.677421971731704
AS4,AS,49.38212655189622
AS4,AS,52.96461947750085
AS4,AS,92.98491436234023
AS4,AS,66.51929661054841
AS4,AS,53.74314142233514
AS4,AS,71.84325048205108
AS4,AS,57.66381078614954
AS4,AS,42.4102444110228
AS4,AS,59.22484633671479
AS4,AS,34.955336954657774
AS4,AS,43.44886361995811
AS4,AS,51.37002378367014
AS4,AS,31.151552502918694
AS4,AS,92.33396359187901
AS4,AS,32.497536764140506
AS4,AS,108.18236741002944
AS4,AS,61.61067848867087
AS4,AS,57.812026416126805
AS4,AS,71.0617527172996
AS4,AS,56.86805244606751
AS4,AS,49.69347973528885
AS4,AS,60.64109515860718
AS4,AS,43.05798283914399
AS4,AS,41.47988640414833
AS4,AS,48.68396847454395
AS4,AS,94.09057490923513
AS4,AS,79.28354273910192
AS4,AS,45.197732959444714
AS4,AS,44.62576980165353
AS4,AS,45.480954835063805
AS4,AS,49.044863348950116
AS4,AS,38.60944274587144
AS4,AS,48.71724085820703
AS4,AS,37.47693641327106
AS4,AS,75.66612604867532
AS4,AS,89.19232646754513
AS4,AS,75.54588365298507
AS4,AS,50.904581593210615
AS4,AS,56.580323934591334
AS4,AS,52.48088785763677
AS4,AS,93.41729903365847
AS4,AS,36.94816034547965
AS4,AS,59.71998815949977
AS4,AS,112.99478859951084
AS4,AS,46.93343714177351
AS4,AS,116.57806587416484
AS4,AS,40.771011354311305
AS4,AS,39.26035235357063
AS4,AS,59.049496519208844
AS4,AS,133.1955136800726
AS4,AS,57.08480047777282
AS4,AS,33.063484200646954
AS4,AS,55.474580724570295
AS4,AS,94.87959604144916
AS4,AS,30.893497033079466
AS4,AS,29.504377616957502
AS4,AS,84.62388106238272
AS4,AS,48.193137549283534
AS4,AS,59.021846482181594
AS4,AS,32.299714436571065
AS4,AS,36.6640947138449
AS4,AS,61.99249155177734
AS4,AS,74.51859203022595
AS4,AS,46.597549106930295
AS4,AS,88.62812736314416
AS4,AS,48.944917372364706
AS4,AS,59.65401855890715
AS4,AS,80.07763479118155
AS4,AS,58.65536233103277
AS4,AS,43.16864348068987
AS4,AS,97.24427179890503
AS4,AS,29.117002954921148
AS4,AS,53.343636076769506
AS4,AS,54.30928838716698
AS4,AS,53.15706930333017
AS4,AS,80.70300865764384
AS4,AS,64.9747068347797
AS4,AS,46.23073541530049
AS4,AS,56.27993651261238
AS4,AS,123.21529329242074
AS4,AS,54.67305136287031
AS4,AS,62.37228292630703
AS4,AS,48.11060147390858
AS4,AS,48.9895776349905
AS4,AS,56.520688154622796
AS4,AS,49.42867557702381
AS4,AS,73.61073695728389
AS4,AS,61.87831136333233
AS4,AS,55.81731312781682
