Talkers,Noise,F1,F2,F3
AS2,NC,356.17,1676.28,2506.5860576923073
AS2,NC,411.3,1536.13,2510.8054404145078
AS2,NC,515.12,1109.65,2630.7448611111113
AS2,NC,446.49,1422.47,2699.006907894737
AS2,NC,388.41,1514.72,2519.370096153846
AS2,NC,387.17,1493.85,2357.293214285715
AS2,NC,444.29,1091.53,2550.720487804878
AS2,NC,428.37,1466.2,2614.7470560747656
AS2,NC,496.96,931.46,2505.733103448276
AS2,NC,464.22,1279.42,2534.1275
AS2,NC,393.52,1531.23,2693.8436036036037
AS2,NC,439.39,1385.19,2511.5973129251697
AS2,NC,255.13,1908.47,2722.569342105263
AS2,NC,406.5,1628.94,2490.037831325301
AS2,NC,387.42,1362.99,2563.3668027210883
AS2,NC,439.59,1272.23,2482.8005982905984
AS2,NC,425.14,1441.8,2558.807661290323
AS2,NC,520.8,1808.65,2860.6533333333327
AS2,NC,535.91,1133.75,2627.8323287671233
AS2,NC,482.77,1314.52,2616.5232173913046
AS2,NC,453.61,1380.94,2603.376868686869
AS2,NC,385.7,1930.07,2175.3115384615385
AS2,NC,390.73,1764.66,2730.2522580645164
AS3,NC,393.11,1688.06,2842.1577464788734
AS3,NC,509.26,1736.5,2821.317969924812
AS3,NC,451.33,1743.35,2845.0016393442625
AS3,NC,437.98,1713.24,2853.9628749999997
AS3,NC,359.28,1762.2,2729.0955882352937
AS3,NC,551.18,1470.98,2628.9729629629633
AS3,NC,403.39,1673.84,2731.755487804878
AS3,NC,446.12,1691.84,2868.120211267606
AS3,NC,469.51,1610.1,2759.717607361963
AS3,NC,532.09,1657.63,2770.9221546961326
AS3,NC,477.52,1618.95,2837.486076555024
AS3,NC,482.01,1772.35,2840.1401734104047
AS3,NC,612.97,1770.48,2932.229479166667
AS3,NC,629.3,1846.99,3052.037848101266
AS3,NC,543.05,1512.97,2669.6201796407186
AS3,NC,445.46,1661.53,2698.6962222222214
AS3,NC,346.61,1876.89,2729.02935483871
AS3,NC,523.78,1721.79,2867.297179487179
AS3,NC,535.88,1556.14,2780.8198064516127
AS3,NC,497.81,1692.45,2837.805714285714
AS3,NC,484.89,1689.72,2852.7754430379746
AS3,NC,458.95,1786.9,2851.807346938776
AS3,NC,553.98,1716.69,2856.875
AS3,NC,578.72,1996.09,2821.234347826087
AS3,NC,465.15,1445.62,2793.216390041494
AS3,NC,406.71,1812.94,2735.891418918919
AS3,NC,496.56,1718.85,2868.865735849057
AS3,NC,509.32,1323.89,2919.675471698113
AS3,NC,442.97,1860.41,2871.911145833333
AS3,NC,556.52,1677.48,2832.4675352112677
AS3,NC,578.95,1825.89,2779.1492241379306
AS3,NC,550.62,1951.07,2908.5258823529416
AS3,NC,354.29,2171.09,2972.676071428571
AS3,NC,455.58,2094.94,2942.1015942028985
AS3,NC,529.21,1734.95,2737.337894736842
AS3,NC,438.65,1662.69,2784.3831034482764
AS3,NC,515.05,1731.7,2863.37214876033
AS3,NC,530.25,1693.26,2728.1153896103897
