Talker,Noise,f0_median
AS6,NC,266.67
AS6,NC,265.02
AS6,NC,256.53
AS6,NC,276.6
AS6,NC,265.2
AS6,NC,280.88
AS6,NC,255.94
AS6,NC,271.75
AS6,NC,263.42
AS6,NC,259.38
AS6,NC,255.19
AS6,NC,253.25
AS6,NC,269.66
AS6,NC,259.01
AS6,NC,277.97
AS6,NC,265.26
AS6,NC,281.85
AS6,NC,282.26
AS6,NC,258.47
AS6,NC,257.5
AS6,NC,262.33
AS6,NC,264.58
AS6,NC,317.89
AS6,NC,273.75
AS6,NC,276.77
AS6,NC,270.39
AS6,NC,251.18
AS6,NC,256.79
AS6,NC,265.84
AS6,NC,276.5
AS6,NC,282.66
AS6,NC,266.59
AS6,NC,281.58
AS6,NC,266.65
AS6,NC,256.2
AS6,NC,275.86
AS6,NC,261.6
AS6,NC,262.13
AS6,NC,260.07
AS6,NC,261.26
AS6,NC,312.68
AS6,NC,263.02
AS6,NC,260.07
AS6,NC,265.27
AS6,NC,262.74
AS6,NC,257.56
AS6,NC,279.72
AS6,NC,269.74
AS6,NC,274.85
AS6,NC,280.18
AS6,NC,269.81
AS6,NC,261.2
AS6,NC,292.1
AS6,NC,262.57
AS6,NC,254.05
AS6,NC,263.23
AS6,NC,259.38
AS6,NC,267.82
AS6,NC,261.36
AS6,NC,259.52
AS6,NC,287.4
AS6,NC,269.18
AS1,SSN,213.68
AS1,SSN,207.1
AS1,SSN,212.95
AS1,SSN,214.8
AS1,SSN,205.42
AS1,SSN,226.39
AS1,SSN,186.99
AS1,SSN,201.6
AS1,SSN,217.4
AS1,SSN,219.9
AS1,SSN,210.67
AS1,SSN,237.54
AS1,SSN,228.74
AS1,SSN,223.21
AS1,SSN,226.24
AS1,SSN,217.91
AS1,SSN,214.89
AS1,SSN,212.68
AS1,SSN,214.84
AS1,SSN,220.87
AS1,SSN,243.84
AS1,SSN,200.97
AS1,SSN,228.25
AS1,SSN,202.6
AS1,SSN,228.41
AS1,SSN,253.09
AS1,SSN,252.93
AS1,SSN,196.02
AS1,SSN,206.51
AS1,SSN,207.49
AS1,SSN,200.0
AS1,SSN,191.73
AS1,SSN,212.1
AS1,SSN,233.42
AS1,SSN,204.88
AS1,SSN,198.15
AS1,SSN,258.92
AS1,SSN,207.63
AS1,SSN,233.24
AS1,SSN,219.13
AS1,SSN,226.64
AS1,SSN,216.84
AS1,SSN,229.06
AS1,SSN,258.16
AS1,SSN,237.16
AS1,SSN,206.67
AS1,SSN,237.06
AS1,SSN,211.48
AS1,SSN,199.39
AS1,SSN,232.61
AS1,SSN,230.89
AS1,SSN,270.63
AS1,SSN,221.66
AS1,SSN,218.94
AS1,SSN,222.11
AS1,SSN,225.82
AS1,SSN,215.61
AS1,SSN,254.75
AS1,SSN,230.61
AS1,SSN,196.42
AS1,SSN,213.19
AS1,SSN,243.99
AS1,SSN,219.12
AS1,SSN,223.99
AS1,SSN,229.73
AS1,SSN,224.6
AS1,SSN,194.8
AS1,SSN,181.53
AS1,SSN,204.12
AS1,SSN,205.69
AS1,SSN,216.54
AS1,SSN,206.33
AS1,SSN,210.33
AS1,SSN,205.62
AS1,SSN,211.57
AS1,SSN,206.94
AS1,SSN,208.02
AS1,SSN,212.66
AS1,SSN,216.41
AS1,SSN,208.66
AS1,SSN,189.4
AS1,SSN,224.02
AS1,SSN,194.74
AS1,SSN,210.96
AS1,SSN,232.87
AS1,SSN,219.35
AS1,SSN,196.14
AS1,SSN,136.41
AS1,SSN,196.68
AS1,SSN,220.18
AS1,SSN,215.15
AS1,SSN,216.03
AS1,SSN,199.7
AS1,SSN,210.76
AS1,SSN,191.78
AS1,SSN,204.95
AS1,SSN,231.2
AS1,SSN,228.42
AS1,SSN,209.23
AS1,SSN,199.14
AS1,SSN,210.4
AS1,SSN,168.16
AS1,SSN,223.98
AS1,SSN,246.98
AS1,SSN,195.48
AS1,SSN,201.2
AS1,SSN,178.84
AS1,SSN,194.45
AS1,SSN,223.16
AS1,SSN,208.94
AS1,SSN,204.86
AS1,SSN,211.79
AS1,SSN,201.4
