Talkers,Noise,F1,F2,F3
C2,SSN,417.0,1408.83,2377.666161616162
C2,SSN,428.89,1326.37,2489.0922448979595
C2,SSN,487.46,1477.35,2429.75475
C2,SSN,376.52,1636.42,2431.9269642857143
C2,SSN,448.79,1356.24,2336.876290322581
C2,SSN,412.14,1313.11,2420.6865447154473
C2,SSN,473.41,1399.12,2397.087936507937
C2,SSN,469.24,1301.15,2382.144702970297
C2,SSN,415.13,1505.87,2443.1162641509436
C2,SSN,461.29,1339.69,2368.1545360824744
C2,SSN,461.36,1400.77,2465.949440993789
C2,SSN,469.76,1645.15,2462.4550000000004
C2,SSN,525.9,1328.35,2515.3904444444447
C2,SSN,351.33,1275.91,2267.314772727273
C2,SSN,464.13,1469.07,2342.093157894737
C2,SSN,493.48,1313.79,2433.6819607843136
C2,SSN,410.8,1417.44,2344.6110050251255
C2,SSN,389.29,1604.43,2580.1273015873016
C2,SSN,442.47,1548.47,2478.6617333333334
C2,SSN,417.91,1394.92,2376.210079365079
C2,SSN,404.18,1380.58,2364.622111111111
C2,SSN,442.1,1387.1,2318.314198717949
C2,SSN,441.86,1392.33,2381.8695437262354
C2,SSN,484.01,1434.0,2402.1258857142857
C2,SSN,425.09,1270.69,2268.1157142857146
C2,SSN,401.62,1477.18,2310.099455782313
C2,SSN,418.82,1409.76,2299.810691489362
C2,SSN,463.74,1374.9,2362.116171171171
C2,SSN,457.28,1409.12,2345.0016078431368
C2,SSN,451.66,1352.32,2410.7757031250003
C2,SSN,472.52,1426.39,2368.1990476190476
C2,SSN,457.02,1438.07,2398.8081067961166
C2,SSN,495.89,1406.42,2378.735238095238
C2,SSN,432.49,1360.54,2439.990263157895
C2,SSN,423.07,1466.5,2452.437709923664
C2,SSN,478.21,1358.87,2327.3383333333336
C2,SSN,495.79,1339.79,2329.300566037736
C2,SSN,402.39,1429.79,2374.938547717842
C2,SSN,473.63,1277.25,2345.0063313609467
C2,SSN,429.55,1451.9,2296.77186440678
