Talkers,Category,Noise,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
AS1,AS,NC,305.3482553808707,-47.399187947308455,163.34290341616918,2.6284841460447756,40.485469742587064,-42.54460580633582,-35.51465549010696,-34.85657446029602,-31.157092501634327,-0.5128237573383087,1.588007851569652,-11.33446478532587,-10.473650106648009,22.519812682409924,-12.434613882515174
AS1,AS,NC,432.69169660927156,-58.1458933222457,111.31984107086093,-41.82863097668211,1.1068361722649003,-37.12886686307947,-37.01589672119205,-26.42266554357616,-9.966701499591391,-29.53802266023179,3.0816438604437075,16.137261066649003,-27.951471971986756,18.559415535847677,-18.60030295566225
AS1,AS,NC,277.5815511216165,-79.28555949109942,123.42058721258522,-26.74910919332103,40.674975817960224,-45.69175997051989,-46.367215003796254,-48.825888258977265,-16.70775423709659,-13.061776729840908,1.908253818036932,8.300701282468749,-26.285077508031815,24.733081706364487,-21.66337312937932
AS1,AS,NC,353.4883843601941,-18.1785266554466,89.67818228975729,-31.100934870936893,23.036566976268393,-15.243497065661165,-21.67565215348544,-29.756650721791264,-9.648530149126215,-25.489446294878647,4.976685290276214,12.191858867551943,-20.897523518063103,21.306563794640777,-24.027740549816503
AS1,AS,NC,362.3350472361086,-24.340561570283707,155.7006412,-49.32967682927602,-7.466020535013573,-34.022133358506785,-26.92319108548869,-29.810871648280543,-14.540339618210858,-27.923666308950228,-13.278945632848869,2.1223884827615382,-19.241030202755656,25.922762460190047,-22.380072721873304
AS1,AS,NC,398.3987234,45.004167042666666,138.655323845,-52.614167732388886,10.241911872944444,-27.680547074816666,-40.87372140663334,-7.690888621511111,-19.199910600816665,-27.35607307925722,-17.400135192055554,-14.246081861461112,-10.540036338516668,22.628813709986108,-15.99022454737222
AS1,AS,NC,267.54718719119876,-35.261007850387294,120.96723408032787,-39.95942692021926,14.325045519637294,-21.484088347577455,-11.947232964500818,-20.402153256943443,1.6480945135198777,-16.837762189817624,-6.200311778105861,5.115470846198155,-21.728627397119467,22.817482841768648,-10.835232699617007
AS1,AS,NC,310.850405201993,-17.87192944810384,136.31396230405593,3.0572754361853147,64.97316177083916,-25.902650730493004,-40.23925963944965,-46.184630506765735,-23.299707451437065,-3.0582895945269235,-6.193020837814685,-5.4645349088968524,-19.6776022806014,17.87466226996678,-9.577819898902098
AS1,AS,NC,289.8598251699136,-15.470473833285299,156.83492265392508,-52.44885002187608,30.945485821866278,-24.79523691734582,-29.92946147912392,-24.791799769403745,-19.281835073503746,-23.69838028872911,-9.76597890355706,-2.630375335982709,-12.350734856991354,26.26160965048444,-17.713916163396625
AS1,AS,NC,298.2003455579072,-20.903379031532463,163.43013149276436,-24.236831303572355,26.811617367341743,-21.437922430333213,-19.88495210326605,-42.73524889519481,-19.527945550045825,-14.277329944780634,-0.692840466216141,-7.577919324035249,-9.091621669874952,27.37359194093321,-18.19727005396215
AS1,AS,NC,243.54154388227192,-44.30058280914634,153.93913044471543,-23.6796367217561,52.12953087715448,-18.213754355292686,-38.848483944657715,-25.74378734897561,-10.196729753247562,-10.550624854284555,-5.011955562639837,2.5963070605325203,-10.047940947268293,21.038487203398375,-6.3148098144187
